시간	No.	카테고리	문제 전문	정답 키워드	해설 및 암기 팁
35:53:00	115	전기설비	고압 또는 특별 고압 가공 전설로에 공급받는 수용 장소 인입구 또는 이와 근접한 곳에 반드시 설치해야 하는 것은?	피뢰기 (LA)	고압 또는 특별 고압 가공 전설로의 수용 장소 인입구 또는 근접한 곳에는 **피뢰기 (LA, Lightning Arrester)**를 설치하여 뇌격으로부터 보호해야 한다.
36:08:00	116	전기설비	다음 중 방수형 콘센트를 나타내는 약호는?	WP	방수형 콘센트는 **워터프루프 (Waterproof)**의 약자인 **WP**가 붙어 있다.
36:18:00	117	전기설비	케이블을 조영제(천장, 기둥, 벽 등)에 지지할 때 사용하는 부속 재료가 아닌 것은?	터미널 캡 (Terminal Cap)	케이블을 조영제에 지지하는 부속 재료는 새들, 클리트, 스테이플러 등이며, 터미널 캡은 전선관 끝에 씌워 전선을 보호하는 마개이다.
36:43:00	118	전기설비	다음 중 과전류 차단기를 설치해야 하는 곳은?	간선의 전원측 전선	간선의 전원측 전선에는 과전류 차단기를 설치해야 한다. (접다접 - 접지선, 다선식 선로의 중성선, 접지측 전선 - 에는 설치하지 않는다.)
36:48:00	119	전기설비	다음 중 접지의 목적으로 알맞지 않은 것은?	전로의 대지 전압을 상승시킨다.	접지는 감전 방지, 보호 계전기 동작 확보, 이상 전압 억제 등 안전을 목적으로 하며, 전로의 대지 전압 상승(더 위험해지는 것)은 목적이 아니다. (오히려 전압 상승을 억제한다.)
37:28:00	120	전기설비	철근 콘크리트 주에 완금(가로 금속 구조물)을 고정시키려면 어떤 밴드를 사용하는가?	암 밴드 (Arm Band)	철근 콘크리트 주에 완금을 고정시킬 때는 암 밴드를 사용한다. (주상 변압기 고정은 행거 밴드)
37:40:00	121	전기설비	저압 연접 인입선 시설에서 제한 사항이 아닌 것은?	지름 2$\text{mm}$ 이하의 경동선을 사용하지 말 것.	연접 인입선은 분기점 100$\text{m}$ 초과 지역 미치지 않을 것, 폭 5$\text{m}$ 넘는 도로 횡단하지 말 것, 타 수용가 옥내 관통하지 말 것 등이 제한 사항이며, 전선 지름은 일반적으로 2.6$\text{mm}$ 경동선을 사용한다.
38:22:00	122	전기설비	노출 장소 또는 점검 가능한 장소에서 제 2종 가요 전선관을 시설하고 제거하는 것이 자유로운 경우, 곡률 반지름은 관 안지름의 몇 배 이상으로 해야 하는가?	3배 이상	2종 가요 전선관을 시설 제거가 자유로운 경우 곡률 반지름은 관 안지름의 3배 이상이다 (3가요 자유 2종). (부자유할 경우 6배)
38:47:00	123	전기설비	불연성 먼지가 많은 장소에 시설할 수 없는 저압 옥내 배선 방법은?	합성 수지관 배선	불연성 먼지가 많은 장소에서는 합성 수지관 배선은 화재에 취약하여 사용할 수 없다. (금속제 가요 전선관은 가능)
39:03:00	124	전기설비	저압 전로의 접지측 전선을 식별하는데 애자의 빛깔에 의해서 표시하는 경우, 어떤 빛깔의 애자를 접지측으로 해야 하는가?	청색	접지측 전선을 식별하는 애자의 빛깔은 청색이다.
39:16:00	125	전기설비	전기 공사에서 사용하는 공구와 작업 내용이 잘못된 것은?	PC 테이프 - 전선관 보호	PC 테이프는 전선관 보호가 아니라 벽체나 전선관에 여러 가닥의 전선을 쉽게 넣을 수 있도록 도와주는 공구이다. (토치 램프: 합성수지관 가공, 홀소: 분전반 구멍 뚫기, 와이어 스트리퍼: 전선 피복 벗기기)
39:35:00	126	전기설비	단선의 브리타니아 직선 접속에 사용되는 것은?	조인트선	단선의 브리타니아 직선 접속에는 조인트선을 사용한다.
39:43:00	127	전기설비	셀룰로이드, 성냥, 석유류 등 가연성 위험 물질 제조 또는 저장 장소에 적합한 배선 방법이 아닌 것은?	플로어 덕트 배선	가연성 위험 물질 장소의 배선은 합금캐 (합성수지관, 금속관, 케이블)이며, 플로어 덕트 배선은 시공 불편 및 화재 우려로 적합하지 않다.
40:00:00	128	전기설비	지선의 중간에 넣는 애자는?	구형 애자	지선의 중간에 넣는 애자는 구형 애자이다.
40:05:00	129	전기설비	주상 변압기를 철근 콘크리트 주에 설치할 때 사용하는 밴드는?	행거 밴드	주상 변압기를 전주(철근 콘크리트 주)에 고정할 때는 행거 밴드를 사용한다.
40:11:00	130	전기설비	배전 설로 보호를 위해서 설치하는 보호 장치는?	자동 재폐로 차단기 (ACR)	**자동 재폐로 차단기 (ACR)**는 지락, 단락 등의 고장 발생 시 자동으로 차단하고 재폐로를 수행하여 배전 설로를 보호한다.
40:25:00	131	전기설비	부식성 가스 등이 있는 장소에 시설이 허용되는 것은?	전등	부식성 가스가 있는 장소에서는 전등 자체의 설치는 허용된다. (개폐기, 콘센트, 차단기는 허용되지 않음)
40:34:00	132	전기설비	일정값 이상의 전류가 흘렀을 때 동작하는 계전기는?	과전류 계전기 (OCR)	일정값 이상의 전류(과전류)가 흘렀을 때 동작하는 계전기는 **과전류 계전기 (Over Current Relay, OCR)**이다.
41:01:00	133	전기설비	한 분전반에서 사용 전압이 각각 다른 분기 회로가 있을 때, 이 분기 회로를 쉽게 식별하기 위한 방법으로 가장 적합한 것은?	명판을 붙인다.	사용 전압이 다른 분기 회로를 쉽게 식별하기 위해서는 각각 전압을 표시하는 명판을 과전류 차단기 가까운 곳에 붙여 놓는다.
41:20:00	134	전기설비	600$\text{V}$ 이하의 저압 회로에 사용하는 비닐 절연 비닐 시스 케이블의 약호로 옳은 것은?	VV	비닐 절연 비닐 시스 케이블의 약호는 **VV**이다.
41:29:00	135	전기설비	나전선 상호 또는 나전선과 절연 전선, 캡타이어 케이블 또는 케이블과의 접속하는 경우 바르지 못한 것은?	알루미늄 전선을 옥외용으로 사용하는 경우 트위스트 접속으로 한다.	알루미늄 전선을 옥외용으로 사용할 때는 적절한 접속기를 사용해야 하며, 트위스트 접속은 단면적 6$\text{mm}^2$ 이하의 가는 단선 접속에 사용한다.
42:11:00	136	전기설비	전선의 굵기를 측정하는 공구는?	와이어 게이지 (Wire Gauge)	전선의 굵기(지름)를 측정하는 공구는 와이어 게이지이다.
42:17:00	137	전기설비	다음 중 전선 접속 방법에 해당하지 않는 것은?	직접 접속	직접 접속은 규정된 전선 접속 방법 용어가 아니다. (슬리브 접속, 트위스트 접속, 커넥터 접속 등은 있다.)
42:27:00	138	전기설비	고압 가공 전설로의 지지물로 철탑을 사용하는 경우 경간은 몇 미터 이하여야 하는가?	600m 이하	철탑을 지지물로 사용할 경우 경간은 600$\text{m}$ 이하이다. ($\text{A}$종 철근 콘크리트주 250$\text{m}$, $\text{B}$종/목주 150$\text{m}$)
42:46:00	139	전기설비	사용 공사에 사용되는 애자의 구비 조건과 거리가 먼 것은?	광택성	애자는 전기 절연에 쓰이므로 절연성, 난연성, 내수성 등이 필요하지만, 광택성은 구비 조건이 아니다.
42:57:00	140	전기설비	고압 가공 전설로의 전선의 조수가 3조일 때 완금의 길이는?	1800$\text{mm}$ (1.8m)	전선 조수가 3조일 때 고압 가공 전설로의 완금 길이는 **1800$\text{mm}∗∗이다.(2조일때고압은1400\text{mm}$)
43:18:00	141	전기설비	가스 증기 위험 장소의 배선 방법으로 적합하지 않은 것은?	합성 수지관 배선	가스 증기 위험 장소에서는 합성 수지관 배선은 화재에 취약하여 적합하지 않다. (금속관 배선은 가능)
43:55:00	142	전기설비	금속관을 가공할 때 절단된 내부를 매끈하게 하기 위해서 사용하는 공구의 명칭은?	리머 (Reamer)	금속관 절단 후 내부의 날카로운 부분을 매끈하게 다듬는 공구는 리머이다.
44:09:00	143	전기설비	자동 화재 탐지 설비의 구성 요소가 아닌 것은?	비상 경보기	자동 화재 탐지 설비의 구성 요소는 수신기, 발신기, 중계기, 감지기 등이며, 비상 경보기는 구성 요소가 아니다.
44:24:00	144	전기설비	가요 전선관의 상호 접속에 사용하는 것은?	스플릿 커플링 (Split Coupling)	가요 전선관의 상호 접속에는 스플릿 커플링을 사용한다. (가요전선관과 금속관 접속은 콤비네이션 커플링)
44:37:00	145	전기설비	설비 용량이 각각 1, 2, 3, 4$\text{kW}$인 부하 설비가 있고, 수용률이 60%인 경우 최대 수용 전력은 몇 $\text{kW}$인가?	6$\text{kW}$	최대 수용 전력은 **수용률 × (각 부하 설비 용량의 합)**이다. 0.6×(1+2+3+4)kW=0.6×10kW=6kW.
45:14:00	146	전기설비	다음 중 덕트 공사의 종류가 아닌 것은?	케이블 덕트 공사	덕트 공사에는 금속 덕트 공사, 버스 덕트 공사, 플로어 덕트 공사가 있으나, 케이블 덕트 공사는 없다.
45:33:00	147	전기설비	건물의 모서리, 직각에서 가요 전선관을 박스에 연결할 때 사용하는 것은?	앵글 박스 커넥터 (Angle Box Connector)	건물의 모서리 등 직각 부분에서 가요 전선관을 박스에 연결할 때는 앵글 박스 커넥터를 사용한다.
45:45:00	148	전기설비	조명기구 용량 표시에 관한 사항 중 F40의 $\text{F}$는 무엇을 의미하는가?	형광등 (Fluorescent)	F40의 $\text{F}는∗∗형광등(Fluorescent)∗∗을의미하며,40은40\text{W}$를 뜻한다. (수은등 H, 나트륨등 N, 메탈 할라이드등 M)
46:02:00	149	전기설비	아웃렛 박스 등의 노가웃(knockout) 지름이 관의 지름보다 클 때, 관을 박스에 고정시키기 위해 쓰는 재료의 명칭은?	링 리듀서 (Ring Reducer)	지름이 다른 두 물체 (노가웃 지름과 관 지름)를 연결 또는 고정시키기 위해 지름을 줄여주는 부품은 링 리듀서이다.
46:18:00	150	전기설비	전주의 길이가 16m이고 설계 하중이 6.8kN일 때, 땅에 묻히는 표준 깊이는?	2.5m 이상	전주 길이 L>15m (16$\text{m}$ 초과)일 때는 매설 깊이는 2.5$\text{m}$ 이상이다.
46:42:00	151	전기설비	전선을 접속할 때 전선 강도를 몇 % 이상 감소시키지 않아야 하는가?	20%	전선 접속 시 전선의 강도는 20% 이상 감소시키지 않아야 한다.
46:52:00	152	전기설비	저압 가공 전선과 고압 가공 전선을 동일 지지물에 시설하는 경우 상호 이격거리는?	50$\text{cm}$ 이상	저압 가공 전선과 고압 가공 전선을 동일 지지물에 시설할 때 상호 이격거리는 50$\text{cm}$ 이상이다.
47:06:00	153	전기설비	가공 전설로의 지지물에 시설하는 지선의 시설에서 맞지 않는 것은?	소선의 지름은 1.6$\text{mm}$ 이상의 금속선을 사용할 것.	지선 소선의 지름은 2.6$\text{mm}$ 이상의 금속선을 사용해야 한다. (안전율 2.5 이상, 최저 인장 하중 4.31$\text{kN}$)
47:36:00	154	전기설비	변류비 100:5$\text{A}의변류기(CT)와5\text{A}의전류계를사용해서부하전류를측정한경우전류계의지시가4\text{A}$였다. 이때 부하 전류는 몇 $\text{A}$인가?	80$\text{A}$	부하 전류는 변류비 × 전류계 지시값이다. (100/5)×4A=20×4A=80A. (혹은 100$\text{A}$ (1차 정격) ×(4A/5A) (2차 비율) =80A)
48:00:00	155	전기설비	굵은 알루미늄 선을 박스 안에 접속하는 방법으로 가장 적합한 것은?	C형 접속기에 의한 접속	굵은 알루미늄 선을 박스 안에 접속할 때는 C형 접속기에 의한 접속이 적합하다.
48:13:00	156	전기설비	애자 사용 공사를 건조한 장소에 시설하고자 한다. 사용 전압이 400$\text{V}$ 이하인 경우 전선과 조영제 사이의 이격거리는?	2.5$\text{cm}$ 이상	애자 사용 공사 시 400$\text{V}$ 이하의 전선과 조영제 사이 이격거리는 2.5$\text{cm}$ 이상이다. (400$\text{V}$ 초과는 4.5$\text{cm}$)
48:39:00	157	전기설비	금속 덕트 공사에 관한 사항 중 옳지 않은 것은?	금속 덕트 끝부분을 열어 놓을 것.	금속 덕트 공사 시 덕트 끝부분은 닫아 놓아 (폐쇄) 외부의 침입을 막아야 한다. (지지점 간 거리 3$\text{m}$ 이하, 뚜껑 쉽게 열리지 않도록, 상호간 전기적으로 완전하게 접속할 것)
49:19:00	158	전기설비	다음 중 과전류 차단기를 설치하는 곳은?	간선의 전원측 전선	간선의 전원측 전선에는 과전류 차단기를 설치해야 한다. (접지선, 다선식 중성선, 접지측 전선에는 설치하지 않음: 접다접 X)
49:34:00	159	전기설비	1종 가요 전선관을 구부릴 경우 곡률 반지름은 관 안지름의 몇 배 이상으로 해야 하는가?	6배 이상	1종 가요 전선관의 곡률 반지름은 관 안지름의 6배 이상이다. (6가요 1종)
49:46:00	160	전기설비	금속 전선관 공사에서 나사내기(산내기)에 사용하는 공구는?	오스터 (Oster)	금속 전선관에 나사(산)를 내는 공구는 오스터이다.
49:56:00	161	전기설비	2종 금속 몰드 공사에서 같은 몰드 내에 들어가는 전선은 피복 절연을 포함하여 단면적 총합이 몰드 내 단면적의 몇 % 이하여야 하는가?	20% 이하	금속 몰드 공사에서 전선의 단면적 합계는 몰드 내 단면적의 20% 이하로 한다. (형광 표시 제어 회로형인 경우 50% 이하)
50:20:00	162	전기설비	PVC (폴리염화비닐) 전선관 표준 규격품 한 본의 길이는?	4$\text{m}$	PVC (합성 수지관) 전선관의 표준 규격품 한 본의 길이는 **4$\text{m}$**이다.
50:26:00	163	전기설비	가연성 분진(밀가루, 전분 등)으로 인하여 폭발 우려가 있는 곳의 옥내 설비 공사로 적절하지 않은 것은?	플로어 덕트 공사	가연성 분진 위험 장소는 합금캐 (합성수지관, 금속관, 케이블) 공사가 적합하며, 플로어 덕트 공사는 적합하지 않다.
50:39:00	164	전기설비	합성 수지관 상호 및 관과 박스 접속 시 삽입하는 깊이를 관 바깥 지름의 몇 배 이상으로 하는가? (단, 접착제를 사용하는 경우)	0.8배 이상	합성 수지관 상호 및 관과 박스 접속 시 접착제를 사용하는 경우 삽입 깊이는 관 바깥 지름의 0.8배 이상이다. (접착제 사용 안 할 경우 1.2배 이상)
